Id,Label,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26
10020151,0,1,5,50,20,194,28,1,26,27,1,1,,20,68fd1e64,4f25e98b,458c58da,17891c2a,25c83c98,fbad5c96,ff6b8352,0b153874,a73ee510,5a842825,15eced00,75bfb65e,bd251a95,1adce6ef,17d9b759,56162465,d4bb7bd8,7ef5affa,5b885066,a458ea53,3406fe78,,32c7478e,f4c62ae7,e8b83407,4909dec4
10026604,0,1,0,3,,914,28,6,1,167,1,3,,,05db9164,c44e8a72,fd2eb00d,46663de6,25c83c98,fbad5c96,86b374da,5b392875,a73ee510,3b08e48b,07678d3e,d0c76b17,0159bf9f,1adce6ef,d6c04afa,bc5d0fe6,e5ba7672,456d734d,21ddcdc9,a458ea53,92cfc76a,,3a171ecb,3fdb382b,724b04da,49d68486
10027964,0,2,-1,45,29,709,43,2,30,37,1,1,,29,8cf07265,4f25e98b,ef43d174,48513177,4cf72387,7e0ccccf,e0386b63,0b153874,a73ee510,ceff3ecd,371dae82,86193895,18fc2b1e,07d13a8f,dfab705f,a93b1778,e5ba7672,7ef5affa,08fffa8d,b1252a9d,b32b5c78,,c7dc6720,9f196282,001f3601,b1c17344
10031418,0,,70,73,46,3329,61,29,34,145,,8,,46,5a9ed9b0,09e68b86,e3d82da3,cf92e76c,4cf72387,,f33e4fa1,0b153874,a73ee510,508cc9f1,7b5deffb,675a4326,269889be,b28479f6,52baadf5,24486c13,e5ba7672,5aed7436,3a1e0f5a,b1252a9d,b28463d0,,32c7478e,a025bb5d,e8b83407,89678cd6
10064081,0,,14,4,5,30686,68,55,5,38,,1,,5,05db9164,38d50e09,,,4cf72387,7e0ccccf,26f5c8bf,0b153874,a73ee510,5f49e872,7c7199cb,,9196db4a,b28479f6,42b3012c,,07c540c4,582152eb,21ddcdc9,5840adea,,,3a171ecb,,001f3601,56be3401
10077764,0,7,4,,2,503,46,50,44,45,2,7,0,2,bd4b6d14,2fe85f57,0a2b53f1,e29c126c,25c83c98,13718bbd,a015ed43,1f89b562,a73ee510,efea433b,c01c1eb7,68007de7,d76cea6e,07d13a8f,3068b94c,5108dc53,e5ba7672,c25374fb,,,15c15f20,,32c7478e,fab2a151,,
10080332,0,,2,6,17,2085,,0,21,45,,0,,23,05db9164,f8c8e8f8,9c8d7791,a59b22bc,25c83c98,,331bbda5,0b153874,a73ee510,4e83ee42,8b8fd213,a0457e27,5eeb6455,1adce6ef,bd2c909f,d8027e71,1e88c74f,d2f0bce2,21ddcdc9,5840adea,b6afb0f2,,423fab69,17f458f7,f55c04b6,984e0db0
10086601,0,0,5,2,24,6124,482,8,0,442,0,1,,136,05db9164,bce95927,ac8f166c,13508380,25c83c98,7e0ccccf,d2d741ca,25239412,a73ee510,294e4d47,ea4adb47,bc6542d9,05781932,07d13a8f,fec218c0,889fbe74,e5ba7672,04d863d5,55dd3565,a458ea53,493e47d1,,423fab69,45ab94c8,ce62e669,c84c4aec
10096076,1,,33,,3,0,210,2,1,66,,1,,0,05db9164,68b3edbf,b00d1501,d16679b9,25c83c98,7e0ccccf,08145aa3,51d76abe,a73ee510,e502ac14,69926409,e0d76380,2fc3058f,b28479f6,f511c49f,1203a270,e5ba7672,752d8b8a,,,73d06dde,c9d4222a,bcdee96c,aee52b6f,,
10113667,1,,0,12,9,14258,180,50,34,182,,13,,9,05db9164,1cfdf714,3e62ea9b,269c3bbe,4cf72387,7e0ccccf,a3579031,5b392875,a73ee510,31990058,1054ae5c,f0e5cf64,d7ce3abd,b28479f6,d345b1a0,d9ed3a1d,e5ba7672,e88ffc9d,21ddcdc9,b1252a9d,57a493f1,ad3062eb,bcdee96c,3fdb382b,010f6491,49d68486
10114763,0,,1506,,4,24,2159,0,43,663,,0,0,1,7f9f4eb6,d4bd9877,795c3cc3,90044821,25c83c98,7e0ccccf,2555b4d9,5b392875,a73ee510,f9065d00,98579192,a0015d5d,779f824b,b28479f6,234efa3a,b458da0e,3486227d,62acb0f3,,,d7a43622,,423fab69,dcba8699,,
10117138,1,2,34,3,5,607,14,63,33,1159,2,28,,5,05db9164,58e67aaf,4794543b,912a37a9,30903e74,fbad5c96,a10916b9,0b153874,a73ee510,ec308632,192461f2,be345c44,bd91360a,1adce6ef,d002b6d9,dcdbba1f,e5ba7672,c21c3e4c,72592995,a458ea53,041fa678,,bcdee96c,60a57787,9b3e8820,ac26d563
10118953,0,1,3,111,33,1539,554,3,48,332,0,1,,179,5bfa8ab5,38a947a1,46a2cf53,f9aff643,4cf72387,fe6b92e5,4aa938fc,0b153874,a73ee510,76aa8efa,7e40f08a,c886a342,1aa94af3,b28479f6,f7864b4d,ba92dd6b,3486227d,fe623d4e,,,ee91f72a,,bcdee96c,d052bbbf,,
10135378,0,8,0,4,3,7,3,8,4,3,1,1,4,3,68fd1e64,38a947a1,daaf3bfb,d1fa94ae,4cf72387,fbad5c96,197b4575,0b153874,a73ee510,6c47047a,48876b80,91630af3,e40e52ae,64c94865,51c5d5ca,a85f05e2,8efede7f,be5810bd,,,9e6acfb9,ad3062eb,3a171ecb,043a382b,,
