@relation 'train_sample_45K-weka.filters.unsupervised.attribute.Remove-R1,16-20,22-23,25-28,30-31,33-34,36,39-41'

@attribute Label {0,1}
@attribute I1 numeric
@attribute I2 numeric
@attribute I3 numeric
@attribute I4 numeric
@attribute I5 numeric
@attribute I6 numeric
@attribute I7 numeric
@attribute I8 numeric
@attribute I9 numeric
@attribute I10 numeric
@attribute I11 numeric
@attribute I12 numeric
@attribute I13 numeric
@attribute C6 {fe6b92e5,7e0ccccf,fbad5c96,13718bbd,6f6d9be8,3bf701e7,c05778d5,f1f2de2d,e3520422,3bc1ed4d,c76aecf6,3c46edb2}
@attribute C9 {a73ee510,7cc72ec2,a18233ea}
@attribute C14 {07d13a8f,1adce6ef,b28479f6,f7c1b33f,32813e21,64c94865,d2dfe871,ad1cc976,051219e6,f862f261,cfef1c29,8ceecbc8,687dfaf4,0601d3b5,91233270,243a4e68,ec19f520,ab7390e9,26ac7cf4,dcd762ee,e8dce07a,95a6ab8c,cf1fc48d,5aebfb83,0bc7c8c2}
@attribute C17 {e5ba7672,07c540c4,d4bb7bd8,776ce399,1e88c74f,3486227d,2005abd1,27c07bd6,8efede7f}
@attribute C20 {5840adea,a458ea53,b1252a9d}
@attribute C22 {c9d4222a,ad3062eb,78e2e389,8651fddb,8ec974f4,c0061c6d,ccfd4002,49e825c5,28f45308,1856e93d}
@attribute C23 {3a171ecb,32c7478e,85d5a995,bcdee96c,423fab69,c7dc6720,be7c41b4,55dd3565,c3dc6cef,dbb486d7,93bad2c0,b264a060,72592995,25e3c76b}

@data
0,?,19,4,17,20355,?,0,17,17,?,0,0,17,fe6b92e5,a73ee510,07d13a8f,e5ba7672,?,?,3a171ecb
0,0,178,1,2,2033,53,9,1,283,0,5,?,2,7e0ccccf,a73ee510,07d13a8f,e5ba7672,5840adea,?,32c7478e
0,?,2,3,?,7354,51,4,1,63,?,3,?,?,?,a73ee510,1adce6ef,e5ba7672,5840adea,?,32c7478e
0,0,-1,?,?,32486,240,3,2,201,0,1,?,?,fbad5c96,7cc72ec2,07d13a8f,07c540c4,5840adea,?,85d5a995
0,?,1,?,?,25296,?,0,0,83,?,0,?,?,fe6b92e5,a73ee510,b28479f6,d4bb7bd8,?,?,3a171ecb
0,?,1,18,9,10150,83,1,9,60,?,1,?,9,?,a73ee510,1adce6ef,d4bb7bd8,a458ea53,?,bcdee96c
0,24,1,28,35,512,49,24,39,132,1,1,?,40,7e0ccccf,a73ee510,07d13a8f,e5ba7672,?,?,32c7478e
1,?,1,2,?,13163,52,22,17,86,?,2,0,?,7e0ccccf,a73ee510,1adce6ef,e5ba7672,a458ea53,?,3a171ecb
0,?,0,150,15,84,?,0,15,15,?,0,?,15,13718bbd,a73ee510,1adce6ef,776ce399,a458ea53,?,423fab69
1,0,5,2,?,2710,69,2,12,35,0,2,?,?,7e0ccccf,a73ee510,07d13a8f,07c540c4,a458ea53,c9d4222a,423fab69
0,11,77,6,6,361,26,19,43,337,1,3,0,6,fbad5c96,a73ee510,07d13a8f,e5ba7672,b1252a9d,?,3a171ecb
0,?,487,6,4,15968,352,1,6,110,?,1,?,4,13718bbd,a73ee510,b28479f6,e5ba7672,?,?,3a171ecb
0,?,16,4,33,3159,140,1,39,47,?,1,?,33,7e0ccccf,a73ee510,07d13a8f,1e88c74f,?,?,32c7478e
0,0,1,27,3,3415,528,17,3,184,0,5,0,3,7e0ccccf,a73ee510,b28479f6,e5ba7672,a458ea53,?,32c7478e
0,?,51,8,5,25,?,0,1,5,?,0,?,5,fbad5c96,a73ee510,b28479f6,1e88c74f,b1252a9d,?,32c7478e
0,?,2,9,?,26683,?,?,0,?,?,?,?,?,6f6d9be8,a73ee510,f7c1b33f,e5ba7672,a458ea53,?,32c7478e
1,0,1,15,21,9226,73,1,22,67,0,1,?,21,7e0ccccf,a73ee510,07d13a8f,d4bb7bd8,5840adea,?,32c7478e
0,?,190,122,3,20293,41,2,10,26,?,1,?,8,7e0ccccf,a73ee510,1adce6ef,07c540c4,b1252a9d,?,bcdee96c
0,4,175,40,10,8,6,4,19,20,1,1,1,6,fe6b92e5,a73ee510,b28479f6,3486227d,?,?,bcdee96c
0,?,41,19,24,5065,32,3,24,61,?,1,?,24,7e0ccccf,a73ee510,b28479f6,07c540c4,?,ad3062eb,bcdee96c
